prompt, completion
"What is the location of GNIT?","Sodepur"
"Where can GNIT be found?","Sodepur"
"In which place is GNIT situated?","Sodepur"
"Where is GNIT based?","Sodepur"
"Where is GNIT positioned?","Sodepur"
"Where is GNIT geographically located?","Sodepur"
"In what area is GNIT?","Sodepur"
"Where is the GNIT campus?","Sodepur"
"Where is GNIT placed?","Sodepur"
"Where is GNIT established?","Sodepur"
"Where is GNIT sited?","Sodepur"
"In which city is GNIT located?","Sodepur"
"Where is GNIT grounded?","Sodepur"
"Where is GNIT residing?","Sodepur"
"Where does GNIT stand?","Sodepur"
"Where is the GNIT institution?","Sodepur"
"Where is GNIT set up?","Sodepur"
"Where does GNIT operate?","Sodepur"
"Where is the GNIT facility?","Sodepur"
"Where is GNIT institutionally based?","Sodepur"
"Which location houses GNIT?","Sodepur"
"Where is GNIT headquartered?","Sodepur"
"Where is GNIT's campus found?","Sodepur"
"What is the geographical location of GNIT?","Sodepur"
"Where is the location of GNIT?","Sodepur"
